ID;Nome do prato; Preco ;Foto do prato
1;Hot Roll de camarao Tradicional; R$ 25,00 ;Imagem
2;Sashimi de atum Premium; R$ 19,00 ;Imagem
3;Sashimi de frango teriyaki Crocante; R$ 79,00 ;Imagem
4;Uramaki de frango teriyaki Da Casa; R$ 83,00 ;Imagem
5;Missoshiro de camarao Especial; R$ 49,00 ;Imagem
6;Nigiri de atum Especial; R$ 28,00 ;Imagem
7;Sushi de frango teriyaki Tradicional; R$ 11,00 ;Imagem
8;Yakisoba de frango teriyaki Especial; R$ 33,00 ;Imagem
9;Gyoza de atum Especial; R$ 74,00 ;Imagem
10;Nigiri de camarao Especial; R$ 49,00 ;Imagem
11;Sashimi de atum Tradicional; R$ 36,00 ;Imagem
12;Sashimi de polvo Tradicional; R$ 51,00 ;Imagem
13;Sashimi de tofu Premium; R$ 59,00 ;Imagem
14;Ramen de cream cheese Crocante; R$ 92,00 ;Imagem
15;Missoshiro de atum Tradicional; R$ 91,00 ;Imagem
16;Hot Roll de atum Da Casa; R$ 10,00 ;Imagem
17;Temaki de salmao Premium; R$ 81,00 ;Imagem
18;Nigiri de shimeji Crocante; R$ 92,00 ;Imagem
19;Temaki de polvo Crocante; R$ 12,00 ;Imagem
20;Sashimi de pepino Da Casa; R$ 77,00 ;Imagem
21;Temaki de pepino Especial; R$ 27,00 ;Imagem
22;Uramaki de atum Crocante; R$ 75,00 ;Imagem
23;Yakisoba Premium; R$ 3,00 ;Imagem
24;Sushi de kani Da Casa; R$ 37,00 ;Imagem
25;Nigiri de pepino Tradicional; R$ 37,00 ;Imagem
26;Hot Roll de tofu Crocante; R$ 78,00 ;Imagem
27;Missoshiro Da Casa; R$ 19,00 ;Imagem
28;Gyoza de cream cheese Tradicional; R$ 24,00 ;Imagem
29;Yakisoba de kani Tradicional; R$ 93,00 ;Imagem
30;Yakisoba de salmao Da Casa; R$ 61,00 ;Imagem
31;Temaki de cream cheese Premium; R$ 8,00 ;Imagem
32;Sushi de atum Especial; R$ 6,00 ;Imagem
33;Hot Roll de salmao Especial; R$ 2,00 ;Imagem
34;Hot Roll de cream cheese Especial; R$ 1,00 ;Imagem
35;Yakisoba de atum Especial; R$ 51,00 ;Imagem
36;Uramaki de shimeji Tradicional; R$ 6,00 ;Imagem
37;Sashimi de camarao Da Casa; R$ 7,00 ;Imagem
38;Hot Roll de kani Da Casa; R$ 8,00 ;Imagem
39;Missoshiro de pepino Especial; R$ 15,00 ;Imagem
