Id;Modelo;Tipo; Valor ;Quantidade;Foto
1;Swift Sport;1; R$ 23.762,00 ;12;Imagem
2;Lumina GT;1; R$ 35.003,00 ;15;Imagem
3;X5 X;2; R$ 23.360,00 ;19;Imagem
4;Dakota Extended Cab Elite;2; R$ 34.249,00 ;8;Imagem
5;Aerostar Passenger X;2; R$ 47.036,00 ;18;Imagem
6;Corsica GT;1; R$ 42.787,00 ;17;Imagem
7;Colorado Regular Cab GT;1; R$ 23.681,00 ;8;Imagem
8;Colorado Extended Cab X;2; R$ 42.328,00 ;9;Imagem
9;Fusion Sport;1; R$ 37.933,00 ;17;Imagem
10;MKS Elite;1; R$ 45.452,00 ;16;Imagem
11;Ram 3500 Quad Cab SE;2; R$ 22.145,00 ;6;Imagem
12;Express 1500 Passenger SE;2; R$ 38.677,00 ;11;Imagem
13;Silhouette X;2; R$ 37.473,00 ;17;Imagem
14;RS 7 SE;2; R$ 46.945,00 ;2;Imagem
15;X6 Turbo;2; R$ 44.743,00 ;4;Imagem
16;300 SD GT;1; R$ 28.347,00 ;15;Imagem
17;Phantom SE;1; R$ 27.937,00 ;11;Imagem
18;Enclave Elite;1; R$ 25.277,00 ;11;Imagem
19;Urban Express 1500 Passenger;1; R$ 33.387,00 ;4;Imagem
20;Sport 599 GTB Fiorano;1; R$ 27.374,00 ;18;Imagem
21;Street Ram Van 2500;1; R$ 24.494,00 ;15;Imagem
22;Trail Taurus;1; R$ 29.161,00 ;11;Imagem
23;Street Skylark;1; R$ 36.314,00 ;4;Imagem
24;Sport Silverado (Classic) 1500 HD Crew Cab;1; R$ 34.543,00 ;2;Imagem
25;Sport Summit;2; R$ 31.157,00 ;8;Imagem
26;Street VUE;1; R$ 40.653,00 ;5;Imagem
27;Classic Cutlass Supreme;2; R$ 20.198,00 ;6;Imagem
28;Street Ram 1500 Club Cab;2; R$ 23.830,00 ;12;Imagem
29;Sport Tundra CrewMax;2; R$ 42.989,00 ;3;Imagem
30;Racing Mustang;2; R$ 28.240,00 ;14;Imagem
31;Racing F350 Super Duty Regular Cab;2; R$ 26.142,00 ;5;Imagem
32;Sport FJ Cruiser;2; R$ 28.596,00 ;14;Imagem
33;Sport Q3;1; R$ 41.247,00 ;4;Imagem
34;Sport Yukon;1; R$ 46.023,00 ;13;Imagem
35;Urban Aztek;2; R$ 32.023,00 ;17;Imagem
36;Sport Beretta;2; R$ 20.336,00 ;17;Imagem
